#다음 라인은 열 이름 설명입니다
#이름,위 앞니,위 송곳니,위 작은 어금니,위 큰 어금니,아래 앞니,아래 송곳니,아래 작은 어금니,아래 큰 어금니,무게
Name,ti,tc,tpm,tm,bi,bc,bpm,bm,weight
오소리,3,1,3,1,3,1,3,2,10
곰,3,1,4,2,3,1,4,3,278
퓨마,3,1,3,1,3,1,2,1,63
소,0,0,3,3,3,1,2,1,400
사슴,0,0,3,3,4,0,3,3,200
개,3,1,4,2,3,1,4,3,20
엘크,0,1,3,3,3,1,3,3,500
여우,3,1,4,2,3,1,4,3,5
물개,3,1,4,1,2,1,4,1,200
회색물범,3,1,3,2,2,1,3,2,268
기니피그,1,0,1,3,1,0,1,3,1
사람,2,1,2,3,2,1,2,3,150
재규어,3,1,3,1,3,1,2,1,81
캥커루,3,1,2,4,1,0,2,4,55
사자,3,1,3,1,3,1,2,1,175
밍크,3,1,3,1,3,1,3,2,1
두더지,3,1,4,3,3,1,4,3,0.75
무스,0,0,3,3,4,0,3,3,900
생쥐,1,0,0,3,1,0,0,3,0.3
돼지,3,1,4,3,3,1,4,3,50
호저,1,0,1,3,1,0,1,3,3
토끼,2,0,3,3,1,0,2,3,1
너구리,3,1,4,2,3,1,4,2,40
쥐,1,0,0,3,1,0,0,3,.75
붉은나무박쥐,1,1,2,3,3,1,2,3,1
바다사자,3,1,4,1,2,1,4,1,415
스컹크,3,1,3,1,3,1,3,2,2
다람쥐,1,0,2,3,1,0,1,3,2
늑대,3,1,4,2,3,1,4,3,27
그라운드호그,1,0,2,3,1,0,1,3,4
